0000,0001,0010,0011,0100,0101,0110,0111,1000,1001,1010,1011,1100,1101,1110,1111
1000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999999990,3,0,0,3,0,0,0,4,0,0,0,0,0,0,0
999999975,4,0,0,8,0,0,0,13,0,0,0,0,0,0,0
999999942,5,0,0,14,0,0,0,38,0,0,0,0,0,0,0
999999859,8,2,0,24,0,0,0,107,0,0,0,0,0,0,0
999999638,12,10,0,41,0,0,0,299,0,0,0,0,0,0,0
999999053,14,44,0,67,0,0,0,822,0,0,0,0,0,0,0
999997440,16,181,0,112,0,0,0,2251,0,0,0,0,0,0,0
999992911,17,733,0,182,0,0,0,6157,0,0,0,0,0,0,0
999979876,23,2966,0,298,0,0,0,16836,0,0,0,0,0,0,0
999941463,27,11980,0,487,0,0,0,46043,0,0,0,0,0,0,0
999824899,28,48382,0,792,0,0,0,125898,0,0,0,0,0,0,0
999459172,32,195344,0,1290,0,0,0,344163,0,0,0,0,0,0,0
998269755,36,788059,0,2103,0,0,0,940046,0,0,0,0,0,0,0
994265952,38,3170218,0,3413,0,0,0,2560379,0,0,0,0,0,0,0
980463165,40,12626796,0,5480,0,0,0,6904518,0,0,0,0,0,0,0
933460369,40,48554879,0,8495,0,0,0,17976216,0,0,0,0,0,0,0
791909375,35,166374809,0,11737,0,0,0,41704041,0,0,0,0,0,0,0
501855202,23,425858790,1,12106,0,1,0,72273874,0,0,0,0,0,0,0
207415331,11,710891191,2,8143,0,3,0,81685319,0,0,0,0,0,0,0
62813040,3,869535206,3,4013,0,6,0,67647726,0,1,0,0,0,0,0
16706156,0,934090393,3,1737,0,11,0,49201698,0,2,0,0,0,0,0
4257367,0,961453682,6,721,0,16,0,34288201,0,7,0,0,0,0,0
1069331,0,975379036,6,295,0,20,0,23551301,0,11,0,0,0,0,0
266998,0,983652021,5,120,0,23,0,16080818,0,14,0,0,0,0,0
66466,0,988986760,4,49,0,27,0,10946677,0,17,0,0,0,0,0
16517,0,992545215,5,19,0,33,0,7438190,0,21,0,0,0,0,0
4101,0,994947558,4,8,0,38,0,5048267,0,25,0,0,0,0,0
1018,0,996575347,4,4,0,44,0,3423556,0,29,0,0,0,0,0
255,0,997679144,4,2,0,51,0,2320510,0,35,0,0,0,0,0
65,0,998427536,4,0,0,58,0,1572296,0,39,0,0,0,0,0
19,0,998934788,5,0,0,68,0,1065074,0,45,0,0,0,0,0
8,0,999278497,6,0,0,77,0,721363,0,48,0,0,0,0,0
4,0,999511333,5,0,0,88,0,488518,0,53,0,0,0,0,0
4,0,999669028,4,0,0,100,0,330807,0,57,0,0,0,0,0
3,0,999775821,4,0,0,112,0,223999,0,61,0,0,0,0,0
4,0,999848131,5,0,0,124,0,151671,0,65,0,0,0,0,0
3,0,999897090,5,0,0,137,0,102695,0,70,0,0,0,0,0
4,0,999930229,4,0,0,153,0,69533,0,77,0,0,0,0,0
3,0,999952659,6,0,0,170,0,47079,0,84,0,0,0,0,0
3,0,999967837,7,0,0,188,0,31876,0,90,0,0,0,0,0
4,0,999978103,7,0,0,209,0,21582,0,94,0,0,0,0,0
2,0,999985049,7,0,0,230,0,14612,0,100,0,0,0,0,0
3,0,999989737,6,0,0,255,0,9893,0,106,0,0,0,0,0
2,0,999992902,4,0,0,282,0,6698,0,111,0,0,0,0,0
3,0,999995028,5,0,0,311,0,4535,0,117,0,0,0,0,0
3,0,999996453,5,0,0,344,0,3071,0,124,0,0,0,0,0
3,0,999997403,5,0,0,380,0,2079,0,130,0,0,0,0,0
3,0,999998028,7,0,0,418,0,1408,0,136,0,0,0,0,0
5,0,999998430,7,0,0,461,0,953,0,144,0,0,0,0,0
3,0,999998687,6,0,0,507,0,645,0,151,0,0,0,0,0
2,0,999998838,6,0,0,557,0,437,0,160,0,0,0,0,0
4,0,999998915,5,0,0,613,0,296,0,168,0,0,0,0,0
4,0,999998938,5,0,0,675,0,200,0,177,0,0,0,0,0
4,0,999998927,7,0,0,742,0,135,0,186,0,0,0,0,0
5,0,999998886,6,0,0,815,0,91,0,195,0,0,0,0,0
5,0,999998827,7,0,0,894,0,61,0,205,0,0,0,0,0
4,0,999998755,5,0,0,981,0,41,0,212,0,0,0,0,0
3,0,999998667,5,0,0,1075,0,28,0,222,0,0,0,0,0
2,0,999998562,5,0,0,1180,0,19,0,232,0,0,0,0,0
3,0,999998445,4,0,0,1294,0,13,0,242,0,0,0,0,0
2,0,999998313,4,0,0,1419,0,8,0,252,0,0,0,0,0
4,0,999998165,5,0,0,1557,0,6,0,265,0,0,0,0,0
3,0,999998005,4,0,0,1707,0,4,0,277,0,0,0,0,0
3,0,999997825,5,0,0,1873,0,3,0,289,0,0,0,0,0
4,0,999997634,3,0,0,2054,0,2,0,302,0,0,0,0,0
3,0,999997424,5,0,0,2253,0,1,0,314,0,0,0,0,0
4,0,999997192,6,0,0,2470,0,0,0,327,0,0,0,0,0
3,0,999996944,5,0,0,2707,0,0,0,340,0,0,0,0,0
4,0,999996670,5,0,0,2966,0,0,0,354,0,0,0,0,0
4,0,999996371,4,0,0,3251,0,0,0,370,0,0,0,0,0
