"Generation","Identity","Population"
0,"0000",9.0
0,"0001",0.0
0,"0010",0.0
0,"0011",0.0
0,"0100",0.0
0,"0101",0.0
0,"0110",0.0
0,"0111",0.0
0,"1000",0.0
0,"1010",0.0
0,"1011",0.0
0,"1100",0.0
0,"1110",0.0
0,"1111",0.0
10,"0000",8.999967170004977
10,"0001",1.0
10,"0010",4.8639411407116295
10,"0011",0.0
10,"0100",3.387033701282363
10,"0101",0.0
10,"0110",0.0
10,"0111",0.0
10,"1000",1.6020599913279623
10,"1010",0.0
10,"1011",0.0
10,"1100",0.0
10,"1110",0.0
10,"1111",0.0
20,"0000",8.352007904352263
20,"0001",0.3010299956639812
20,"0010",8.888997582627107
20,"0011",1.1760912590556813
20,"0100",5.801324802588076
20,"0101",0.0
20,"0110",0.9542425094393249
20,"0111",0.0
20,"1000",1.5440680443502757
20,"1010",1.0
20,"1011",0.0
20,"1100",0.0
20,"1110",0.0
20,"1111",0.0
30,"0000",3.7902147702439795
30,"0001",0.0
30,"0010",8.999984322120518
30,"0011",3.99370069482035
30,"0100",4.301073422940844
30,"0101",0.0
30,"0110",1.7708520116421442
30,"0111",0.0
30,"1000",0.0
30,"1010",1.1139433523068367
30,"1011",0.0
30,"1100",0.0
30,"1110",0.0
30,"1111",0.0
40,"0000",0.47712125471966244
40,"0001",0.0
40,"0010",8.998017311849638
40,"0011",6.658416866999461
40,"0100",2.6875289612146345
40,"0101",0.0
40,"0110",2.1702617153949575
40,"0111",0.0
40,"1000",0.0
40,"1010",1.146128035678238
40,"1011",0.0
40,"1100",0.0
40,"1110",0.0
40,"1111",0.0
50,"0000",0.3010299956639812
50,"0001",0.3010299956639812
50,"0010",8.505415698808203
50,"0011",8.83238373035815
50,"0100",0.6020599913279624
50,"0101",0.0
50,"0110",2.0293837776852097
50,"0111",0.8450980400142568
50,"1000",0.0
50,"1010",0.6020599913279624
50,"1011",0.0
50,"1100",0.0
50,"1110",0.0
50,"1111",0.0
60,"0000",0.8450980400142568
60,"0001",0.6020599913279624
60,"0010",8.803287761047095
60,"0011",8.556987071348106
60,"0100",4.6974385908880265
60,"0101",0.0
60,"0110",6.012607789161368
