"Parent","Identity"
0,"0000","0001"
1,"0000","0010"
2,"0001","0011"
3,"0000","0100"
4,"0001","0101"
5,"0100","0110"
6,"1111","0111"
7,"0000","1000"
8,"0001","1001"
9,"1011","1010"
10,"1001","1011"
11,"0100","1100"
12,"1001","1101"
13,"1111","1110"
14,"1011","1111"
