"Generation","Identity","Population"
0,"0000",9.0
0,"0001",0.0
0,"0010",0.0
0,"0100",0.0
0,"0101",0.0
0,"0110",0.0
0,"1000",0.0
0,"1100",0.0
10,"0000",8.999938113404383
10,"0001",1.3617278360175928
10,"0010",2.287801729930226
10,"0100",5.153107226252515
10,"0101",0.0
10,"0110",0.0
10,"1000",0.47712125471966244
10,"1100",0.0
20,"0000",7.65018316302908
20,"0001",0.0
20,"0010",2.3541084391474008
20,"0100",8.980145482227456
20,"0101",0.6020599913279624
20,"0110",1.2041199826559248
20,"1000",0.0
20,"1100",0.47712125471966244
30,"0000",2.499687082618404
30,"0001",0.0
30,"0010",0.0
30,"0100",8.999999844088252
30,"0101",0.6020599913279624
30,"0110",1.5440680443502757
30,"1000",0.0
30,"1100",0.6020599913279624
40,"0000",0.47712125471966244
40,"0001",0.0
40,"0010",0.0
40,"0100",8.999999972639447
40,"0101",0.6989700043360189
40,"0110",1.6989700043360187
40,"1000",0.0
40,"1100",0.6020599913279624
50,"0000",0.6020599913279624
50,"0001",0.0
50,"0010",0.0
50,"0100",8.999999966993618
50,"0101",0.6020599913279624
50,"0110",1.7993405494535817
50,"1000",0.0
50,"1100",0.47712125471966244
60,"0000",0.47712125471966244
60,"0001",0.0
60,"0010",0.0
60,"0100",8.999999963084967
60,"0101",0.6020599913279624
60,"0110",1.8692317197309762
60,"1000",0.0
60,"1100",0.6020599913279624
70,"0000",0.6020599913279624
70,"0001",0.0
70,"0010",0.0
70,"0100",8.999999959176316
70,"0101",0.6020599913279624
70,"0110",1.9084850188786497
70,"1000",0.0
70,"1100",0.6989700043360189
80,"0000",0.6020599913279624
80,"0001",0.0
80,"0010",0.0
80,"0100",8.999999957439138
80,"0101",0.6989700043360189
80,"0110",1.9294189257142926
80,"1000",0.0
80,"1100",0.6020599913279624
90,"0000",0.47712125471966244
90,"0001",0.0
90,"0010",0.0
90,"0100",8.999999954833372
90,"0101",0.6020599913279624
90,"0110",1.9637878273455553
90,"1000",0.0
90,"1100",0.6020599913279624
100,"0000",0.6020599913279624
100,"0001",0.0
100,"0010",0.0
100,"0100",8.999999953530487
100,"0101",0.6989700043360189
