"Generation","Identity","Population"
60,"0001",2.2355284469075487
60,"0010",7.72121358164764
60,"0011",0.0
60,"0100",1.0
60,"0101",0.0
60,"0110",0.0
60,"0111",0.0
60,"1000",1.6232492903979006
60,"1001",0.0
60,"1010",0.0
60,"1011",0.0
60,"1100",0.0
60,"1101",0.0
60,"1110",0.0
60,"1111",0.0
70,"0000",8.749958390362377
70,"0001",2.0827853703164503
70,"0010",8.64118883607015
70,"0011",0.6020599913279624
70,"0100",0.6989700043360189
70,"0101",0.0
70,"0110",0.0
70,"0111",0.0
70,"1000",1.4471580313422192
70,"1001",0.0
70,"1010",0.6020599913279624
70,"1011",0.0
70,"1100",0.0
70,"1101",0.0
70,"1110",0.0
70,"1111",0.0
80,"0000",7.924140351648974
80,"0001",1.3222192947339193
80,"0010",8.961908188448335
80,"0011",0.9542425094393249
80,"0100",0.0
80,"0101",0.0
80,"0110",0.47712125471966244
80,"0111",0.0
80,"1000",0.6989700043360189
80,"1001",0.0
80,"1010",1.0
80,"1011",0.0
80,"1100",0.0
80,"1101",0.0
80,"1110",0.0
80,"1111",0.0
90,"0000",6.812863510138763
90,"0001",0.3010299956639812
90,"0010",8.997168184872136
90,"0011",0.9542425094393249
90,"0100",0.0
90,"0101",0.0
90,"0110",0.6989700043360189
90,"0111",0.0
90,"1000",0.0
90,"1001",0.0
90,"1010",1.0413926851582251
90,"1011",0.0
90,"1100",0.0
90,"1101",0.0
90,"1110",0.0
90,"1111",0.0
100,"0000",5.668964280061876
100,"0001",0.0
100,"0010",8.999797289613335
100,"0011",0.9542425094393249
100,"0100",0.0
100,"0101",0.0
100,"0110",0.8450980400142568
100,"0111",0.0
100,"1000",0.0
100,"1001",0.0
100,"1010",1.0791812460476249
100,"1011",0.0
100,"1100",0.0
100,"1101",0.0
100,"1110",0.0
100,"1111",0.0
110,"0000",4.522770158085897
110,"0001",0.0
110,"0010",8.99998551516889
110,"0011",0.9542425094393249
110,"0100",0.0
110,"0101",0.0
110,"0110",0.6020599913279624
110,"0111",0.0
110,"1000",0.0
110,"1001",0.0
110,"1010",1.1139433523068367
110,"1011",0.0
110,"1100",0.0
110,"1101",0.0
110,"1110",0.0
