"Parent","Identity"
0,"0000","0001"
1,"0000","0010"
2,"0010","0011"
3,"0000","0100"
4,"0100","0101"
5,"0010","0110"
6,"0011","0111"
7,"0000","1000"
8,"1011","1001"
9,"0010","1010"
10,"1010","1011"
11,"0100","1100"
12,"1111","1101"
13,"1010","1110"
14,"1011","1111"
